Ente,Liste/Gruppi,Voti,,
VIGOLO VATTARO,MIR - MODERATI IN RIVOLUZIONE,14,,
VILLA AGNEDO,SVP - PATT - PD - UPT,237,,
VILLA AGNEDO,IL POPOLO DELLA LIBERTA' - LEGA NORD,136,,
VILLA AGNEDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,81,,
VILLA AGNEDO,FARE PER FERMARE IL DECLINO,12,,
VILLA AGNEDO,RIVOLUZIONE CIVILE,12,,
VILLA AGNEDO,MIR - MODERATI IN RIVOLUZIONE,11,,
ZIANO DI FIEMME,IL POPOLO DELLA LIBERTA' - LEGA NORD,267,,
ZIANO DI FIEMME,SVP - PATT - PD - UPT,256,,
ZIANO DI FIEMME,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,210,,
ZIANO DI FIEMME,RIVOLUZIONE CIVILE,29,,
ZIANO DI FIEMME,FARE PER FERMARE IL DECLINO,21,,
ZIANO DI FIEMME,MIR - MODERATI IN RIVOLUZIONE,10,,
